,Year Published,Book Title
52,2005,Programming with Intel Extended Memory 64 technology [electronic resource] : migrating software for Optimal 64-bit performance / Andrew Binstock.
53,2004,"Beginning Web programming with HTML, XHTML, and CSS [electronic resource] / Jon Duckett."
54,2004,"Pro .NET 1.1 network programming, second edition [electronic resource] / Christian Nagel ... [et al.] ; technical reviewer, Alexandru Serban."
55,2013,"Professional iOS database application programming, second edition [electronic resource] / Patrick Alessi ; technical editor, Michael Gilbert."
56,2013,"iOS 6 programming pushing the limits [electronic resource] : advanced application development for Apple iPhone, iPad, and iPad Touch / Rob Napier, Mugunth Kumar ; technical editor, Jay Thrash."
57,2002,WebSphere Studio Application Developer programming guide [electronic resource] / Osamu Takagiwa ... [et al.]
58,2012,"Professional Android programming with Mono for Android and .NET/C# [electronic resource] / Wallace B. McClure ... [et al.] ; technical editors, Stephen Long, Jordan Cobb."
59,2011,Rational application developer for WebSphere software V8 programming guide [electronic resource] / Martin Keen ... [et al.].
60,2011,"Android 3 SDK programming for dummies [electronic resource] / Rajiv Ramnath, Roger Crawfis, Paolo Sivilotti."
61,2010,"Microsoft Dynamics NAV 2009 programming cookbook [electronic resource] : build better business applications with NAV / Matt Traxinger ; reviewer, David Roys."
62,2009,"Microsoft Visual Basic 2008 express programming for the absolute beginner [electronic resource] / Jerry Lee Ford, Jr."
63,2003,WebSphere Studio Application Developer [electronic resource] : version 5 programming guide / Ueli Wahli ... [et al.].
64,2008,Tcl and Tk programming for the absolute beginner [electronic resource] / Kurt Wall.
65,2008,"GNU/Linux application programming, second edition [electronic resource] / [by] M. Tim Jones."
66,2008,Programming the Cell Broadband Engine Architecture [electronic resource] examples and best practices / Abraham Arevalo ... [et al.].
67,2014,"Enterprise Android [electronic resource] : programming Android database applications for the enterprise / Zigurd Mednieks ... [et al.] ; technical editor, Maija Mednieks."
68,2013,"TouchDevelop [electronic resource] : programming on the go, third edition / R. Nigel Horspool, Nikolai Tillmann."
69,2005,"Microsoft Access VBA programming for the absolute beginner, second edition [electronic resource] / Michael Vine."
70,2016,Swift iOS 24-Hour Trainer / Abhishek Mishra.
71,2014,"Learn iOS 8 app development / James Bucanek ; technical reviewer, Charles Cruz."
72,2014,"Android app inventor for the absolute beginner [electronic resource] / Lakshmi Prayaga, Jeffrey Hawthorne, Alex Whiteside."
73,2015,"Beginning iPhone development with Swift 2 : exploring the iOS SDK / David Mark [and four others] ; technical reviewer, Bruce Wade."
74,2011,"Expert Oracle and Java security [electronic resource] : programming secure Oracle database applications with Java / David Coffin ; technical reviewer, Josh Juneau."
75,2003,Microsoft Access VBA programming for the absolute beginner [electronic resource] / Michael Vine.
76,2014,"Transitioning to Swift / Scott Gardner ; technical reviewer, Henry Glendening."
77,2014,Java for Android [electronic resource] / Budi Kurniawan.
78,2014,"Dart for absolute beginners [electronic resource] / David Kopec ; technical reviewers, Matthew Butler, David Titarenco."
79,2002,Oracle9i advanced PL/SQL programming [electronic resource] / [by Sideris Courseware Corporation].
80,2002,"Professional MTS and MSMQ programming with VB and ASP [electronic resource] / Alex Homer, David Sussman."
81,2002,Microsoft Visual Basic .NET programming for the absolute beginner [electronic resource] / Jonathan S. Harbour.
82,2002,Wireless programming with J2ME [electronic resource] : cracking the code / Dreamtech Software Team.
83,2015,"Beginning Swift games development for iOS / James Goodwill, Wesley Matlock ; technical reviewer, Bruce Wade."
84,2009,Practical WPF charts and graphics [electronic resource] : advanced chart and graphics programming with the Windows Presentation Foundation / Jack Xu.
85,2001,Programming J2EE APIs with WebSphere Advanced [electronic resource] / Osamu Takagiwa ... [et al.]
86,2014,"Building JavaScript games [electronic resource] : for phones, tablets, and desktop / Arjan Egges ; technical reviewer, Jon Westfall."
87,2000,Servlet and JSP programming with IBM WebSphere Studio and VisualAge for Java [electronic resource] / Ueli Wahli ... [et al.]
88,2000,Sams teach yourself ATL programming in 21 days / Kenn Scribner.
89,2007,"Google Web Toolkit [electronic resource] : GWT Java AJAX programming : a practical guide to Google Web Toolkit for creating AJAX applications with Java / Prabhakar Chaganti ; reviewers, Luca Masini, Travis S. Schmidt ; technical editors, Rashmi Phadnis, Ved Prakash Jha."
90,2015,"iOS eCommerce app development with Parse / Liangjun Jiang ; technical reviewer, Bruce Wade."
91,2015,"More iPhone development with Objective-C / David Mark [and four others] ; technical reviewer, Ron Natalie."
92,2016,Material Design Implementation with AngularJS : UI Component Framework / V. Keerti Kotaru.
93,2016,App Development Recipes for iOS and watchOS / Molly Maskrey.
94,2005,Oracle database 10g [electronic resource] : advanced PL/SQL programming & tuning / Sideris.
95,2013,"Learn iOS app development / James Bucanek ; technical reviewer, Charles Cruz."
96,2013,"Beginning Android C++ game development [electronic resource] / Bruce Sutherland ; technical reviwer, Onur Cinar."
97,2013,"Learn Corona SDK game development [electronic resource] / Frank W. Zammetti ; technical reviewer, Peach Pellen."
98,2013,"iPhone and iPad apps for absolute beginners, 3rd edition [electronic resource] / Rory Lewis ; contributing authors, Chad Mello, Ben Easton."
99,2013,"More iOS 6 development [electronic resource] : further explorations of the iOS SDK / Alex Horovitz ... [et al.] ; technical reviwer, Nick Waynik."
100,2013,Android design patterns [electronic resource] : interaction design solutions for developers / Greg Nudelman.
101,2013,Smashing Android UI [electronic resource] : responsive user interfaces and design patterns for Android phones and tablets / Juhani Lehtimäki.
102,2013,"Beginning iOS6 development [electronic resource] : exploring the iOS SDK / David Mark ... [et al.] ; technical reviewers, Nick Waynik, Mark Dalrymple."
103,2015,"Professional Android wearables / David Cuartielles Ruiz, Andreas Göransson ; technical editor, Erik Hellman."
104,2015,JavaFX for dummies [electronic resource] / Doug Lowe.
105,2015,Secure development for mobile apps [electronic resource] : how to design and code secure mobile applications with PHP and JavaScript / J.D. Glaser ; foreword by Jeremiah Grossman.
106,2015,Mobile Application Security with Open-Source Tools / Sakthivel Rajendran.
107,2015,Smart Wearable Glasses : Future Data Center Management / Gnanasoundari Soundarajan and Radhakrishna Vijayan.
108,2015,"Building cross-platform apps using Titanium, Alloy, and Appcelerator Cloud Services / Aaron Saunders."
109,2015,"Java for Android / Budi Kurniawan ; technical reviewer, Paul Deck."
110,2015,"Pro REST API development with Node.js / Fernando Doglio, La Paz, Canelones, Uruguay ; technical reviewer, Jose Dieguez Castro."
111,2012,"Beginning iOS 6 games development [electronic resource] / Lucas Jordan ; technical reviewer, Tony Hillerson."
112,2012,"iPhone and iPad app 24-hour trainer [electronic resource] / Abhishek Mishra, Gene Backlin ; technical editor, Allan Evans."
113,2012,"iOS 5 recipes [electronic resource] : a problem-solution approach / Shawn Grimes, Colin Francis ; technical reviewer, Anselm Bradford."
114,2012,"iPhone and iPad apps for absolute beginners, iOS5 edition [electronic resource] / Rory Lewis ; contributing authors, Ben Easton, Brian Parks, and Anthony Magee ; technical reviewer, Matthew Knott."
115,2012,Beginning iOS application development with HTML and JavaScript [electronic resource] / Richard Wagner.
116,2012,"Beginning iOS 5 application development [electronic resource] / Wei-Meng Lee ; technical editor, Trent Shumay."
117,2014,"Learn SpriteBuilder for iOS game development / Steffen Itterheim ; technical reviewers, Leland Long, Martin Walsh."
118,2014,"Beginning Xcode / Matthew Knott ; technical reviewer, Felipe Laso Marsetti."
119,2014,"Android apps for absolute beginners, third edition [electronic resource] / Wallace Jackson ; technical reviewer, Chád Darby."
120,2014,"Pro JavaFX 8 [electronic resource] : a definitive guide to building desktop, mobile, and embedded Java clients / Johan Vos ... [et al.] ; technical reviewer, Mark Heckler."
121,2014,"Beginning Google Glass development [electronic resource] / Jeff Tang ; technical reviewer, Andres Calvo."
122,2014,"JavaFX 8 [electronic resource] : introduction by example, second edition / Carl Dea ... [et al.] ; technical reviewer, David Coffin."
123,2014,"Mastering XPages [electronic resource] : a step-by-step guide to XPages application development and the XSP language, second edition / Martin Donnelly, Mark Wallace, Tony McGuckin ; contributing author, Jim Quill."
124,2014,Learn BlackBerry 10 app development [electronic resource] : a Cascades-driven approach / Anwar Ludin.
125,2014,"Beginning Xcode [electronic resource] / Matthew Knott ; technical reviewer, Felipe Laso Marsetti."
126,2011,"iOS wow factor [electronic resource] : apps and UX design techniques for iPhone and iPad / Timothy Wood ; technical reviewer, Adam Smith."
127,2011,"Pro Core Data for iOS [electronic resource] : data access and persistence engine for iPhone, iPad, and iPod touch, second edition / Michael Privat and Rob Warner ; technical reviewer, Robert Hamilton."
128,2011,"Pro iOS apps performance optimization [electronic resource] / Khang Vo ; technical reviewer, Evan Coyne Maloney."
129,2011,"Migrating to iPhone and iPad for .NET developers [electronic resource] / Mark Mamone ; technical reviewer, John Allen."
130,2011,"Beginning iOS 5 games development [electronic resource] : using the iOS 5 SDK for iPad, iPhone, and iPod Touch / Lucas Jordan ; technical reviewer, Tony Hillerson."
131,2011,"iPhone & iPad web design for dummies [electronic resource] / Janine Warner, David LaFontaine, Lee Andron."
132,2011,"iPad in the enterprise [electronic resource] : developing and deploying business applications / Nathan Clevenger ; technical editors, Scott Olson, Peter Ericksen."
133,2011,"Beginning iOS apps with Facebook and Twitter APIs [electronic resource] : for iPhone, iPad, and iPod touch / Chris Dannen, Christopher White ; technical reviewer, Ryan Petrich."
134,2011,"Developing C# apps for iPhone and iPad using MonoTouch [electronic resource] : iOS apps development for .NET developers / Bryan Costanich ; technical reviewer, Geoff Norton."
135,2011,"Pro Windows Phone 7 development [electronic resource] / Rob Cameron ; technical reviewer, Rob Garrett."
136,2011,"The business of iPhone and iPad app development [electronic resource] : making and marketing apps that succeed, second edition / Dave Wooldridge with Michael Schneider ; technical reviewer, Joe Kissell."
137,2011,"Advanced BlackBerry 6 development [electronic resource] / Chris King ; technical reviewer, Kunal Mittal."
138,2011,"Beginning iPhone 4 development [electronic resource] : exploring the iOS SDK / Dave Mark, Jack Nutting, Jeff LaMarche ; technical reviewer, Mark Dalrymple."
139,2011,"Pro Core Data for iOS [electronic resource] : data access and persistence engine for iPhone, iPad, and iPod touch / Michael Privat and Rob Warner ; technical reviewer, Robert Hamilton."
140,2011,"Professional iPhone and iPad application development [electronic resource] / Gene Backlin ; technical editor, Daniel W. Meeks."
141,2011,"Beginning Windows Phone 7 application development [electronic resource] : building Windows phone applications using Silverlight and XNA / Nick Lecrenski, Karli Watson, Robert Fonseca-Ensor."
142,2011,Dashcode for dummies [electronic resource] / Jesse Feiler.
143,2013,"Android game recipes [electronic resource] : a problem-solution approach / J.F. DiMarzio ; technical reviewer, Jim Graham."
144,2013,Akka concurrency [electronic resource] : building reliable software in a multi-core world / Derek Wyatt.
145,2013,Implementing IBM CICS JSON web services for mobile applications [electronic resource] / Rufus Credle ... [et al.].
146,2013,"Beginning iOS social games [electronic resource] / Kyle Richter ; technical reviewers, Marcus S. Zarra, Lucas L. Jordan."
147,2013,"Pro JPA 2, second edition [electronic resource] / Mike Keith, Merrick Schincariol ; technical reviewer, Manuel Jordan Elera."
148,2013,"Windows Phone 8 recipes [electronic resource] : a problem-solution approach / Lori Lalonde, David R. Totzke ; technical reviewer, Tom Walker."
149,2013,"Pro Windows Phone app development, third edition [electronic resource] / Falafel Software ; technical reviewer, Ken Cenerelli."
150,2013,"Learn OpenGL ES [electronic resource] : for mobile game and graphics development / Prateek Mehta ; technical reviwer, Shane Kirk."
151,2013,"Windows 8 and Windows Phone 8 game development [electronic resource] / Adam Dawes ; technical reviewer, Don Sorcinelli."
152,2013,"Learn Unity 4 for iOS game development [electronic resource] / Philip Chu ; technical reviewer, Marc Schärer."
153,2013,"Introducing Java EE 7 [electronic resource] : a look at what's new / Josh Juneau ; technical reviewer, David Coffin."
154,2013,"Oracle Application Express for mobile web applications [electronic resource] / Roel Hartman, Christian Rokitta, David Peake ; technical reviewer, Scott Wesley."
155,2013,"Android application development cookbook [electronic resource] : 93 recipes for building winning apps / Wei-Meng Lee ; technical editor, Chaim Krause."
156,2013,"Smashing mobile web development [electronic resource] : going mobile with HTML5, CSS3 and Javascript / Greg Avola, Jon Raasch."
157,2013,Android application development for Java programmers [electronic resource] / James C. Sheusi.
158,2010,"Beginning iOS 4 application development [electronic resource] / Wei-Meng Lee ; technical editor, Trent Shumay."
159,2010,BlackBerry application development for dummies [electronic resource] / Karl G. Kowalski.
160,2010,"Spring persistence with Hibernate [electronic resource] / Paul Tepper Fisher, Brian D. Murphy ; technical reviewer, Sia Cyrus."
161,2010,Multimobile development [electronic resource] : building applications for the iPhone and Android platforms / Matthew Baxter-Reynolds ; technical reviewer: Matthew Fitchett.
162,2010,"Beginning iPad development for iPhone developers [electronic resource] : mastering the iPad SDK / Jack Nutting, Dave Woolridge, David Mark ; technical reviewer, Mark Dalrymple."
163,2010,"BlackBerry Java application development [electronic resource] : beginner's guide / Bill Foust ; reviewers, Richard Evers, Jason Reese."
164,2010,More iPhone cool projects [electronic resource] : cool developers reveal the details of their cooler apps and discuss their iPad development experiences / Danton Chin ... [et al.].
165,2010,iPhone and iPad apps for absolute beginners [electronic resource] / Rory Lewis ; foreword by Ben Easton ; technical reviewer: Kristian Besley.
166,2010,"Beginning iPhone games development [electronic resource] / Peter Bakhirev ... [et al.] ; technical reviewer [s]: Peter Bakhirev, Eric Wing and Ben Britten Smith."
167,2010,Building iPhone and iPod Touch applications for the .NET/C# developer with MonoTouch [electronic resource] / by Wallace B. McClure.
168,2010,"Safari and WebKit development for iPhone OS 3.0 [electronic resource] / Richard Wagner ; technical editor, Michael Morrison."
169,2010,Professional Flash Lite mobile development [electronic resource] / Jermaine G. Anderson.
170,2012,"Designing for iPhone [electronic resource] / authors, Adeel Raza ... [et al.]."
171,2012,"Android apps for absolute beginners, second edition [electronic resource] / Wallace Jackson ; technical reviewer, Chád Darby."
172,2012,"Android arcade game app [electronic resource] : a real world project, case study approach / J.F. Dimarzio ; technical reviewer, Tony Hillerson."
173,2012,"Foundation iPhone app development [electronic resource] : build an iPhone app in 5 days with iOS 6 SDK / Nick Kuh ; technical reviewer, Felipe Laso Marsetti."
174,2012,"Pro Android web game apps [electronic resource] : using HTML5, CSS3, and JavaScript / Juriy Bura, Paul Coates."
175,2012,"Android application development for dummies, 2nd edition [electronic resource] / Michael Burton, Donn Felker."
176,2012,WebKit for dummies [electronic resource] / Chris Minnick.
177,2012,"Learn GameSalad for iOS [electronic resource] : game development for iPhone, iPad, and HTML5 / David Guerineau ; technical reviewer, Henry Abrams."
178,2012,"Beginning Facebook game apps development [electronic resource] / Wayne Graham ; technical reviewer, Eric Rochester."
179,2012,"XDA Developers' Android hacker's toolkit [electronic resource] : the complete guide to rooting, ROMs and theming / Jason Tyler, Will Verduzco."
180,2012,XPages extension library [electronic resource] : a step-by-step guide to the next generation of XPages components / Paul Hannan ... [et al.].
181,2012,"Pro multithreading and memory management for iOS and OS X [electronic resource] / Kazuki Sakamoto ; translator, Tomohiko Furumoto ; technical reviewers, Paul Chapman, Mark Makdad, and Ross Sharrott."
182,2012,"Agile Oracle Application Express [electronic resource] / Patrick Cimolini, Karen Cannell ; technical reviewer, Scott Wesley."
183,2012,"Beginning Android ADK with Arduino [electronic resource] / Mario Böhmer ; technical reviewer, Friedger Müffke."
184,2012,"iPad application development for dummies, 3rd edition [electronic resource] / Neal Goldstein."
185,2012,"Pro JavaFX 2 [electronic resource] : a definitive guide to rich clients with Java technology / James L. Weaver ... [et al.] ; technical reviewer, Carl Dea."
186,2012,"Pro Silverlight 5 in C#, fourth edition [electronic resource] / Matthew MacDonald ; technical reviewer, Fabio Claudio Ferracchiati."
187,2012,Mac application development for dummies [electronic resource] / Karl G. Kowalski.
188,2012,"iPhone application development for dummies, 4th edition [electronic resource] / Neal Goldstein."
189,2012,"Beginning PhoneGap [electronic resource] / Thomas Myer ; technical editors, Brian Leroux, Danny Lowe."
190,2009,"Pro Android media [electronic resource] : developing graphics, music, video, and rich media apps for smartphones and tablets / Shawn Van Every ; technical reviewers, Steve Bull, Wallace Jackson."
191,2009,"More iPhone 3 development [electronic resource] : tackling iPhone SDK 3 / Dave Mark, Jeff LaMarche ; technical reviewer, Mark Dalrymple."
192,2009,Advanced BlackBerry development [electronic resource] / Chris King.
193,2009,"Beginning BlackBerry development [electronic resource] / Anthony Rizk ; technical reviewer, Paul Dumais."
194,2009,"AdvancED Flash on devices [electronic resource] : mobile development with Flash Lite and Flash 10 / Elad Elrom, Scott Janousek, and Thomas Joos ; technical reviewer, Nancy Nicolaisen."
195,2011,Building applications for the Mac App store [electronic resource] / by [Wei-Meng Lee].
196,2011,Flash mobile [electronic resource] : developing Android and iOS applications / Matthew David.
197,2011,"JavaFX 2.0 [electronic resource] : introduction by example / Carl Dea ; technical reviewer, David Coffin."
198,2011,"Pro Windows Phone app development, second edition [electronic resource] / Rob Cameron ; technical reviewer, Rob Garrett."
199,2011,"Practical Android 4 games development [electronic resource] / J.F. DiMarzio ; technical reviewers, Yosun Chang, Tony Hillerson."
200,2011,"Windows phone recipes [electronic resource] : a problem-solution approach, second edition / Fabio Claudio Ferracchiati, Emanuele Garofalo ; technical reviewer, Simona Nasetti."
201,2011,"Beginning OS X Lion apps development [electronic resource] / Michael Privat, Robert Warner ; technical reviewer, James Bucanek."
202,2011,"Applied ASP .NET 4 in context [electronic resource] / Adam Freeman ; technical reviewer, Fabio Claudio Ferracchiati."
203,2011,"Windows Phone 7 application development for dummies [electronic resource] / Bill Hughes, Indrajit Chakrabarty."
204,2011,"HTML, CSS & JavaScript mobile development for dummies [electronic resource] / William Harrel."
205,2011,"Beginning Windows Phone 7 development, second edition [electronic resource] / Henry Lee, Eugene Chuvyrov ; technical reviewer, Fabio Claudio Ferracchiati."
206,2011,"Pro Android Python with SL4A [electronic resource] / Paul Ferrill ; technical reviewer, Justin Grammens."
207,2011,"Beginning Android games [electronic resource] / Mario Zechner ; technical reviewer, Robert Green."
208,2011,"Android recipes [electronic resource] : a problem-solution approach / Dave Smith, Jeff Friesen ; technical reviewer, Paul Connolly."
209,2011,Foundation HTML5 Canvas [electronic resource] : for games and entertainment / Rob Hawkes ; technical reviewer: Doug Swartzendruber.
210,2011,"Oracle Application Express 4.0 with Ext JS [electronic resource] / Mark Lancaster ; reviewer, Vincent Stanislaus."
211,2011,"Android apps for absolute beginners [electronic resource] / Wallace Jackson ; technical reviewer, Kunal Mittal."
212,2011,"Web application obfuscation [electronic resource] : '-/WAFs..Evasion..Filters//alert (/Obfuscation/)-' / Mario Heiderich ... [et al.] ; technical editor, Carl Sampson."
213,2011,"Pro Android Web apps [electronic resource] : develop for Android using HTML5, CSS3 & JavaScript / Damon Oehlman, Sébastien Blanc ; technical reviewer, Kunal Mittal."
214,2011,"Mastering XPages [electronic resource] : a step-by-step guide to XPages application development and the XSP language / Martin Donnelly, Mark Wallace, Tony McGuckin."
215,2011,"Windows phone 7 application development [electronic resource] : 24-hour trainer / Brian Faucher ; technical editor, Gina Northover-Moore."
216,2011,"Professional Windows phone 7 application development [electronic resource] : building applications and games using Visual Studio, Silverlight, and XNA / Nick Randolph, Christopher Fairbairn ; technical editor, Scott Spradlin."
217,2011,"Professional mobile web development with WordPress, Joomla!, and Drupal [electronic resource] / James Pearce ; technical editor, Doug Vann."
218,2011,Windows phone 7 for dummies [electronic resource] / Bill Hughes.
219,2011,"iPad application development for dummies, 2nd edition [electronic resource] / Neal Goldstein, Tony Bove."
220,2011,"Android application development for dummies [electronic resource] / Donn Felker, Joshua Dobbs."
221,2011,Iphone application development : strategies for efficient mobile design and delivery / Jim Hahn.
222,2010,"Beginning iPad application development [electronic resource] / Wei-Meng Lee ; technical editor, Trent Shumay."
223,2010,Flex 4 fun [electronic resource] / Chet Haase.
224,2010,"Pro Silverlight 4 in C#, updated [electronic resource] / Matthew MacDonald ; technical reviewer, Fabio Claudio Ferracchiati."
225,2010,"Oracle APEX 4.0 cookbook [electronic resource] / Marcel van der Plas, Michel van Zoest ; reviewers, Dimitri Gielis, Surachart Opun."
226,2010,"iPhone application development for dummies, 3rd edition [electronic resource] / Neal Goldstein."
227,2010,"iPhone application development all-in-one for dummies [electronic resource] / Neal Goldstein, Tony Bove."
228,2010,Flash Catalyst CS5 bible [electronic resource] / Rob Huddleston.
229,2010,Flash Builder 4 and Flex 4 bible [electronic resource] / David Gassner.
230,2010,Cocoa Touch for iPhone OS 3 [electronic resource] / Jiva DeVoe.
231,2010,Cocoa [electronic resource] / Richard Wentk.
232,2010,Android development with Flash [electronic resource] : your visual blueprint for developing mobile apps / Julian Dolce.
233,2010,"Beginning iPhone and iPad Web apps [electronic resource] : scripting with HTML5, CSS3, and JavaScript / Chris Apers, Daniel Paterson ; technical reviewer, Paul Haine."
234,2010,"Beginning Windows Phone 7 development [electronic resource] / Henry Lee and Eugene Chuvyrov ; technical reviewer, Stefan Turalski."
235,2010,"Google App Engine Java and GWT application development [electronic resource] : build powerful, scalable, and interactive Web applications in the cloud / Daniel Guermeur, Amy Unruh ; reviewers, Dom Derrien ... [et al.]."
236,2010,"JavaFX 1.2 application development cookbook [electronic resource] : over 80 recipes to create rich Internet applications with many exciting features / Vladimir Vivien ; reviewers, Anghel Leonard, Luca Masini, Meenakshi Verma."
237,2010,"Microsoft Windows Communication Foundation 4.0 cookbook for developing SOA applications [electronic resource] / Steven Cheng ; reviewer, Frank Xu Lei, Dong Qi, Kris van der Mast."
238,2010,"Beginning JavaFX [electronic resource] / Lawrence PremKumar, Praveen Mohan ; technical reviewer, Sten Anderson."
239,2010,"Beginning Java EE 6 platform with GlassFish 3 [electronic resource] : from novice to professional, second edition / Antonio Goncalves ; technical reviewer, Jim Farley."
240,2010,"The essential guide to Flash Builder and Flash Catalyst [electronic resource] : the new workflow / Steven Peeters ; foreword by Peter Elst ; technical reviewer, Peter Elst."
241,2010,"AdvancED Flex 4 [electronic resource] / Shashank Tiwari, Elad Elrom, Charlie Schulze ; technical reviewer, Tom Barker."
242,2010,"Taking your iPad to the max [electronic resource] / Steve Sande, Michael Grothaus ; technical reviewer, Erica Sadun."
243,2010,"ColdFusion 9 developer tutorial [electronic resource] / John Farrar ; reviewers, Rick Mason, Tracy Charles Smith."
244,2010,"The business of iPhone app development [electronic resource] : making and marketing apps that succeed / Dave Wooldridge with Michael Schneider ; technical reviewer, Mark Johnson."
245,2010,"Pro PHP and jQuery [electronic resource] / Jason Lengstorf ; technical reviewer, Robert Banh."
